Battery,Robbery,Sex_offense,Narcotics,Aggravated_assault
1667,400,59,1038,136
1526,372,25,1076,133
1474,345,25,1055,129
1558,296,31,1252,136
1487,288,42,1077,115
1503,282,26,1205,110
1444,287,36,1233,131
1450,282,36,1234,115
1477,311,32,1108,121
1473,247,36,1209,101
1780,314,47,1140,138
1631,287,41,849,154
1678,313,31,1190,158
1822,319,44,1090,159
1786,328,42,1066,154
1970,345,33,968,178
1669,294,32,1009,133
1810,318,46,1164,141
2002,302,37,937,161
1955,289,37,1038,155
1913,328,36,1088,155
2401,330,71,1018,217
2007,360,58,1090,167
2181,336,61,980,166
2305,337,46,822,188
2252,401,55,821,153
2412,361,55,756,203
2102,404,58,1058,146
2243,452,57,921,151
2181,400,50,838,171
2153,451,56,910,174
1956,406,51,950,151
1977,452,49,960,160
1848,455,34,877,159
1852,408,37,941,173
2077,388,54,1027,176
2012,376,51,798,171
2005,408,40,852,159
1863,437,46,781,166
2142,431,55,887,196
1804,417,35,926,147
1730,379,35,946,129
1726,394,33,927,133
1822,384,46,975,143
1609,390,39,718,110
1487,371,33,1117,127
1622,353,33,953,130
1406,317,26,905,104
1404,342,26,1057,106
1581,343,38,1127,149
1564,382,35,1030,110
1353,310,29,795,117
1686,407,76,1155,150
1432,329,30,1133,118
1382,317,33,1002,105
1308,256,17,1066,115
1320,257,38,1050,105
1334,236,31,1147,111
1342,239,40,1061,110
1523,247,35,1050,111
1531,276,41,1099,126
1417,246,33,1139,108
1615,288,38,1142,141
1790,311,29,722,131
1817,331,31,850,129
1746,281,42,851,130
1648,295,32,1180,106
1853,322,28,1006,135
1763,312,42,974,127
1869,328,47,992,148
1946,287,35,1002,177
1879,337,45,1040,135
1875,328,33,1011,143
1820,332,45,959,136
1867,346,51,1007,138
2003,342,54,1066,134
1992,383,45,839,160
2090,358,35,828,164
2112,332,57,813,188
1815,332,54,932,151
1955,409,45,918,181
1868,373,51,880,172
1864,401,44,1074,144
1818,405,43,1043,132
1815,390,49,1061,163
1968,341,36,1140,167
1862,390,38,1071,179
1673,382,46,1187,142
1997,388,54,1215,194
1786,386,41,1009,135
1631,351,31,1183,162
1572,367,38,1282,135
1943,338,49,1262,161
1719,404,44,1695,134
1706,381,57,1123,143
1814,375,30,941,154
1528,349,45,1165,147
1467,339,40,1079,124
1584,339,37,1136,144
1470,288,23,882,113
1428,302,26,1311,125
1442,329,33,886,116
1370,330,27,927,114
1323,320,22,702,111
1855,414,54,1303,163
1260,282,20,879,81
1496,321,26,1118,137
1326,267,32,1220,99
1233,247,19,1101,89
1466,273,26,1280,106
1390,218,31,1222,112
1513,236,22,1207,112
1628,249,44,1181,137
1649,301,32,1207,144
1606,257,42,1242,111
1742,274,24,970,140
1792,283,33,1170,164
1760,276,25,1103,127
1775,258,28,1328,138
1723,252,30,1005,140
1675,274,37,1092,129
1662,298,43,989,145
1863,285,27,1050,151
2042,325,40,934,160
1899,336,44,1038,159
1876,319,34,1097,148
1844,294,47,1149,179
2043,314,43,1014,177
2051,306,54,903,165
1859,319,28,876,162
1839,321,52,993,156
1930,330,32,973,176
1882,332,41,1044,188
1715,342,38,946,161
1773,356,37,1206,142
1784,307,52,1060,177
1545,322,38,1075,132
1770,303,34,1150,139
1809,361,53,1099,142
1735,350,46,1260,142
1748,321,38,1291,163
1992,325,26,1142,165
1849,337,40,1198,163
1643,351,42,1168,114
1617,299,43,1180,137
1572,315,32,1162,128
1678,350,37,1100,142
1850,369,26,1123,158
1572,377,35,1000,121
1494,311,25,1135,123
1544,322,22,1204,117
1364,287,28,955,132
1415,295,34,1109,96
1528,296,28,1089,108
1369,295,20,917,99
1089,326,16,803,94
1639,381,63,963,121
1306,268,34,1074,85
1388,286,35,1064,111
1187,269,19,986,73
1270,229,30,1192,83
1393,221,33,1281,95
1457,235,28,1210,114
1424,238,33,1213,117
1427,234,23,1196,119
1477,243,37,1258,119
1422,241,24,1171,115
1626,280,33,1055,152
